"YEAR","ROTATION","CYCLE","PLOT","REP","TRT","CURRENT","CURRENT_SIMPLE","PREVIOUS","PREVIOUS_SIMPLE","PREV_GROUP","WINTER_PLANT","NSPECIES","CROP_DIV","LENGTH","AGE","YIELD","CYCLE_YEAR","HAS_CROP_FAIL","IMPUTED"
"2001","COWwS","1",423,"4",32,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,964.833276426008,"1",FALSE,TRUE
"2001","COWwS","1",330,"3",29,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,5022,"1",FALSE,FALSE
"2001","COWwS","1",303,"3",32,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,697,"1",FALSE,FALSE
"2001","COWwS","1",207,"2",29,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4919,"1",FALSE,FALSE
"2001","COWwS","1",132,"1",31,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4628,"1",FALSE,FALSE
"2001","COWwS","1",223,"2",30,"Oat","Oat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3651,"1",FALSE,FALSE
"2001","COWwS","1",104,"1",29,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4193,"1",FALSE,FALSE
"2001","COWwS","1",108,"1",30,"Oat","Oat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3644,"1",FALSE,FALSE
"2001","COWwS","1",413,"4",31,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,3896,"1",FALSE,FALSE
"2001","COWwS","1",402,"4",30,"Oat","Oat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4281,"1",FALSE,FALSE
"2001","COWwS","1",328,"3",30,"Oat","Oat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4146,"1",FALSE,FALSE
"2001","COWwS","1",232,"2",32,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,695,"1",FALSE,FALSE
"2001","CPWwS","1",302,"3",10,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3452,"1",FALSE,FALSE
"2001","CPWwS","1",235,"2",9,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4186,"1",FALSE,FALSE
"2001","CPWwS","1",404,"4",11,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4410,"1",FALSE,FALSE
"2001","CPWwS","1",333,"3",9,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4475,"1",FALSE,FALSE
"2001","CPWwS","1",421,"4",9,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4295,"1",FALSE,FALSE
"2001","CPWwS","1",407,"4",10,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3730,"1",FALSE,FALSE
"2001","CPWwS","1",120,"1",11,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4683,"1",FALSE,FALSE
"2001","CPWwS","1",125,"1",10,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3196,"1",FALSE,FALSE
"2001","CPWwS","1",304,"3",11,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4437,"1",FALSE,FALSE
"2001","CPWwS","1",123,"1",9,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3170,"1",FALSE,FALSE
"2001","CPWwS","1",312,"3",12,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1087,"1",FALSE,FALSE
"2001","CPWwS","1",206,"2",11,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4289,"1",FALSE,FALSE
"2001","CPWwS","1",221,"2",10,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,2936,"1",FALSE,FALSE
"2001","CPWwS","1",222,"2",12,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,878,"1",FALSE,FALSE
"2001","CPWwS","1",117,"1",12,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1004,"1",FALSE,FALSE
"2001","CPWwS","1",408,"4",12,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1006,"1",FALSE,FALSE
"2001","CS","1",113,"1",34,"Soy","Soy","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,699,"1",FALSE,FALSE
"2001","CS","1",220,"2",33,"Corn","Corn","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,3543,"1",FALSE,FALSE
"2001","CS","1",230,"2",34,"Soy","Soy","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,697,"1",FALSE,FALSE
"2001","CS","1",427,"4",34,"Soy","Soy","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,720,"1",FALSE,FALSE
"2001","CS","1",332,"3",33,"Corn","Corn","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,3160,"1",FALSE,FALSE
"2001","CS","1",434,"4",33,"Corn","Corn","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,4529,"1",FALSE,FALSE
"2001","CS","1",133,"1",33,"Corn","Corn","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,3249,"1",FALSE,FALSE
"2001","CS","1",310,"3",34,"Soy","Soy","Swheat","Wheat","C3",FALSE,2,0.693147181,2,1,743,"1",FALSE,FALSE
"2001","CSSwP","1",118,"1",26,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1188,"1",FALSE,FALSE
"2001","CSSwP","1",327,"3",28,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,2509,"1",FALSE,FALSE
"2001","CSSwP","1",301,"3",27,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3597,"1",FALSE,FALSE
"2001","CSSwP","1",422,"4",27,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4388,"1",FALSE,FALSE
"2001","CSSwP","1",217,"2",25,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4653,"1",FALSE,FALSE
"2001","CSSwP","1",426,"4",26,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,945,"1",FALSE,FALSE
"2001","CSSwP","1",314,"3",26,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1023,"1",FALSE,FALSE
"2001","CSSwP","1",233,"2",28,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,2258,"1",FALSE,FALSE
"2001","CSSwP","1",213,"2",26,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1232,"1",FALSE,FALSE
"2001","CSSwP","1",411,"4",25,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4377,"1",FALSE,FALSE
"2001","CSSwP","1",227,"2",27,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3381,"1",FALSE,FALSE
"2001","CSSwP","1",131,"1",25,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3978,"1",FALSE,FALSE
"2001","CSSwP","1",105,"1",28,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,2968,"1",FALSE,FALSE
"2001","CSSwP","1",323,"3",25,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4101.62801269664,"1",FALSE,TRUE
"2001","CSSwP","1",431,"4",28,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3584,"1",FALSE,FALSE
"2001","CSSwP","1",130,"1",27,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3940,"1",FALSE,FALSE
"2001","CSSwS","1",135,"1",8,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,757,"1",FALSE,FALSE
"2001","CSSwS","1",229,"2",7,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3633,"1",FALSE,FALSE
"2001","CSSwS","1",212,"2",5,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3847,"1",FALSE,FALSE
"2001","CSSwS","1",319,"3",7,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3796,"1",FALSE,FALSE
"2001","CSSwS","1",334,"3",8,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,750,"1",FALSE,FALSE
"2001","CSSwS","1",320,"3",6,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,436,"1",FALSE,FALSE
"2001","CSSwS","1",114,"1",7,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3782,"1",FALSE,FALSE
"2001","CSSwS","1",134,"1",5,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,4457,"1",FALSE,FALSE
"2001","CSSwS","1",127,"1",6,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,903,"1",FALSE,FALSE
"2001","CSSwS","1",225,"2",6,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,634,"1",FALSE,FALSE
"2001","CSSwS","1",428,"4",5,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,4675,"1",FALSE,FALSE
"2001","CSSwS","1",316,"3",5,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3148,"1",FALSE,FALSE
"2001","CSSwS","1",401,"4",8,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,721,"1",FALSE,FALSE
"2001","CSSwS","1",416,"4",6,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,798,"1",FALSE,FALSE
"2001","CSSwS","1",214,"2",8,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,965.62770262351,"1",FALSE,TRUE
"2001","CSSwS","1",425,"4",7,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3535,"1",FALSE,FALSE
"2002","CCaWwS","1",102,"1",13,"Can","Can","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1866.60906872727,"2",TRUE,TRUE
"2002","CCaWwS","1",317,"3",15,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2378,"2",TRUE,FALSE
"2002","CCaWwS","1",121,"1",15,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2102,"2",TRUE,FALSE
"2002","CCaWwS","1",215,"2",16,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,3669,"2",TRUE,FALSE
"2002","CCaWwS","1",237,"2",15,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2005,"2",TRUE,FALSE
"2002","CCaWwS","1",103,"1",16,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,4068,"2",TRUE,FALSE
"2002","CCaWwS","1",415,"4",16,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,4750,"2",TRUE,FALSE
"2002","CCaWwS","1",436,"4",14,"Wwheat","Wheat","Can","Can","Forbe",TRUE,4,1.386294361,4,2,3017,"2",TRUE,FALSE
"2002","CCaWwS","1",109,"1",14,"Wwheat","Wheat","Can","Can","Forbe",TRUE,4,1.386294361,4,2,3330,"2",TRUE,FALSE
"2002","CCaWwS","1",308,"3",16,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,4745,"2",TRUE,FALSE
"2002","CCaWwS","1",335,"3",13,"Can","Can","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1854.08425981779,"2",TRUE,TRUE
"2002","CCaWwS","1",417,"4",13,"Can","Can","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1854.94820421028,"2",TRUE,TRUE
"2002","CCaWwS","1",414,"4",15,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2070,"2",TRUE,FALSE
"2002","CCaWwS","1",208,"2",14,"Wwheat","Wheat","Can","Can","Forbe",TRUE,4,1.386294361,4,2,2518,"2",TRUE,FALSE
"2002","CCaWwS","1",325,"3",14,"Wwheat","Wheat","Can","Can","Forbe",TRUE,4,1.386294361,4,2,2767,"2",TRUE,FALSE
"2002","CCaWwS","1",236,"2",13,"Can","Can","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1883.53431180819,"2",TRUE,TRUE
"2002","CCSSw","1",305,"3",21,"Corn","Corn","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1992,"2",FALSE,FALSE
"2002","CCSSw","1",403,"4",23,"Swheat","Wheat","Soy","Soy","Legume",FALSE,3,1.039720771,4,2,1665,"2",FALSE,FALSE
"2002","CCSSw","1",437,"4",21,"Corn","Corn","Corn","Corn","C4",FALSE,3,1.039720771,4,2,2019,"2",FALSE,FALSE
"2002","CCSSw","1",418,"4",22,"Soy","Soy","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1360,"2",FALSE,FALSE
"2002","CCSSw","1",226,"2",21,"Corn","Corn","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1727,"2",FALSE,FALSE
"2002","CCSSw","1",219,"2",22,"Soy","Soy","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1817,"2",FALSE,FALSE
"2002","CCSSw","1",107,"1",24,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,2,2156,"2",FALSE,FALSE
"2002","CCSSw","1",329,"3",22,"Soy","Soy","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1505,"2",FALSE,FALSE
"2002","CCSSw","1",112,"1",23,"Swheat","Wheat","Soy","Soy","Legume",FALSE,3,1.039720771,4,2,2010,"2",FALSE,FALSE
"2002","CCSSw","1",315,"3",23,"Swheat","Wheat","Soy","Soy","Legume",FALSE,3,1.039720771,4,2,1875,"2",FALSE,FALSE
"2002","CCSSw","1",211,"2",23,"Swheat","Wheat","Soy","Soy","Legume",FALSE,3,1.039720771,4,2,1511,"2",FALSE,FALSE
"2002","CCSSw","1",228,"2",24,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,2,3828,"2",FALSE,FALSE
"2002","CCSSw","1",119,"1",21,"Corn","Corn","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1547,"2",FALSE,FALSE
"2002","CCSSw","1",429,"4",24,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,2,3588,"2",FALSE,FALSE
"2002","CCSSw","1",115,"1",22,"Soy","Soy","Corn","Corn","C4",FALSE,3,1.039720771,4,2,1813,"2",FALSE,FALSE
"2002","CCSSw","1",322,"3",24,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,2,3947,"2",FALSE,FALSE
"2002","COWwS","1",409,"4",29,"Oat","Oat","Corn","Corn","C4",FALSE,4,1.386294361,4,2,3486,"2",FALSE,FALSE
"2002","COWwS","1",129,"1",32,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,2921,"2",FALSE,FALSE
"2002","COWwS","1",204,"2",31,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2123,"2",FALSE,FALSE
"2002","COWwS","1",318,"3",31,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,1710,"2",FALSE,FALSE
"2002","COWwS","1",423,"4",32,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,4219.26974321899,"2",FALSE,TRUE
"2002","COWwS","1",330,"3",29,"Oat","Oat","Corn","Corn","C4",FALSE,4,1.386294361,4,2,4073,"2",FALSE,FALSE
"2002","COWwS","1",303,"3",32,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,3408,"2",FALSE,FALSE
"2002","COWwS","1",207,"2",29,"Oat","Oat","Corn","Corn","C4",FALSE,4,1.386294361,4,2,4499,"2",FALSE,FALSE
"2002","COWwS","1",132,"1",31,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2096,"2",FALSE,FALSE
"2002","COWwS","1",223,"2",30,"Wwheat","Wheat","Oat","Oat","C3",TRUE,4,1.386294361,4,2,2394,"2",FALSE,FALSE
"2002","COWwS","1",104,"1",29,"Oat","Oat","Corn","Corn","C4",FALSE,4,1.386294361,4,2,3938,"2",FALSE,FALSE
"2002","COWwS","1",108,"1",30,"Wwheat","Wheat","Oat","Oat","C3",TRUE,4,1.386294361,4,2,2449,"2",FALSE,FALSE
"2002","COWwS","1",413,"4",31,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,1781,"2",FALSE,FALSE
"2002","COWwS","1",402,"4",30,"Wwheat","Wheat","Oat","Oat","C3",TRUE,4,1.386294361,4,2,2067,"2",FALSE,FALSE
"2002","COWwS","1",328,"3",30,"Wwheat","Wheat","Oat","Oat","C3",TRUE,4,1.386294361,4,2,2310,"2",FALSE,FALSE
"2002","COWwS","1",232,"2",32,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,2971,"2",FALSE,FALSE
"2002","CPWwS","1",302,"3",10,"Wwheat","Wheat","Pea","Pea","Legume",TRUE,4,1.386294361,4,2,2730,"2",FALSE,FALSE
"2002","CPWwS","1",235,"2",9,"Pea","Pea","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1496,"2",FALSE,FALSE
"2002","CPWwS","1",404,"4",11,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2291,"2",FALSE,FALSE
"2002","CPWwS","1",333,"3",9,"Pea","Pea","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1272,"2",FALSE,FALSE
"2002","CPWwS","1",421,"4",9,"Pea","Pea","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1278,"2",FALSE,FALSE
"2002","CPWwS","1",407,"4",10,"Wwheat","Wheat","Pea","Pea","Legume",TRUE,4,1.386294361,4,2,2153,"2",FALSE,FALSE
"2002","CPWwS","1",120,"1",11,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2187,"2",FALSE,FALSE
"2002","CPWwS","1",125,"1",10,"Wwheat","Wheat","Pea","Pea","Legume",TRUE,4,1.386294361,4,2,2481,"2",FALSE,FALSE
"2002","CPWwS","1",304,"3",11,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,2151,"2",FALSE,FALSE
"2002","CPWwS","1",123,"1",9,"Pea","Pea","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1392,"2",FALSE,FALSE
"2002","CPWwS","1",312,"3",12,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,5340,"2",FALSE,FALSE
"2002","CPWwS","1",206,"2",11,"Soy","Soy","Wwheat","Wheat","C3",FALSE,4,1.386294361,4,2,1924,"2",FALSE,FALSE
"2002","CPWwS","1",221,"2",10,"Wwheat","Wheat","Pea","Pea","Legume",TRUE,4,1.386294361,4,2,2560,"2",FALSE,FALSE
"2002","CPWwS","1",222,"2",12,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,4135,"2",FALSE,FALSE
"2002","CPWwS","1",117,"1",12,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,4981,"2",FALSE,FALSE
"2002","CPWwS","1",408,"4",12,"Corn","Corn","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,3960,"2",FALSE,FALSE
"2002","CS","1",113,"1",34,"Corn","Corn","Soy","Soy","Legume",FALSE,2,0.693147181,2,2,3956,"2",FALSE,FALSE
"2002","CS","1",220,"2",33,"Soy","Soy","Corn","Corn","C4",FALSE,2,0.693147181,2,2,1887,"2",FALSE,FALSE
"2002","CS","1",230,"2",34,"Corn","Corn","Soy","Soy","Legume",FALSE,2,0.693147181,2,2,3461,"2",FALSE,FALSE
"2002","CS","1",427,"4",34,"Corn","Corn","Soy","Soy","Legume",FALSE,2,0.693147181,2,2,4187,"2",FALSE,FALSE
"2002","CS","1",332,"3",33,"Soy","Soy","Corn","Corn","C4",FALSE,2,0.693147181,2,2,1444,"2",FALSE,FALSE
"2002","CS","1",434,"4",33,"Soy","Soy","Corn","Corn","C4",FALSE,2,0.693147181,2,2,1712,"2",FALSE,FALSE
"2002","CS","1",133,"1",33,"Soy","Soy","Corn","Corn","C4",FALSE,2,0.693147181,2,2,1707,"2",FALSE,FALSE
"2002","CS","1",310,"3",34,"Corn","Corn","Soy","Soy","Legume",FALSE,2,0.693147181,2,2,4372,"2",FALSE,FALSE
"2002","CSSwP","1",118,"1",26,"Swheat","Wheat","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,2010,"2",FALSE,FALSE
"2002","CSSwP","1",327,"3",28,"Corn","Corn","Pea","Pea","Legume",FALSE,4,1.386294361,4,2,3016,"2",FALSE,FALSE
"2002","CSSwP","1",301,"3",27,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,2,1419,"2",FALSE,FALSE
"2002","CSSwP","1",422,"4",27,"Pea","Pea","Swheat","Wheat","C3",FALSE,4,1.386294361,4,2,1381,"2",FALSE,FALSE
"2002","CSSwP","1",217,"2",25,"Soy","Soy","Corn","Corn","C4",FALSE,4,1.386294361,4,2,1714,"2",FALSE,FALSE
"2002","CSSwP","1",426,"4",26,"Swheat","Wheat","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,1758,"2",FALSE,FALSE
"2002","CSSwP","1",314,"3",26,"Swheat","Wheat","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,1699,"2",FALSE,FALSE
"2002","CSSwP","1",233,"2",28,"Corn","Corn","Pea","Pea","Legume",FALSE,4,1.386294361,4,2,3231,"2",FALSE,FALSE
"2002","CSSwP","1",213,"2",26,"Swheat","Wheat","Soy","Soy","Legume",FALSE,4,1.386294361,4,2,1689,"2",FALSE,FALSE
